purpleKey,storeName,retailerName,storeTagging,dateOpened,Territory,TSM,TSS,Region,RSM,tonikSales,hcSales,skyroSales,salmonSales,inHouseSales,creditCardSales,cashSales,otherSales,retailerHeadcount,tonikHeadcount,hcHeadcount,skyroHeadcount,salmonHeadcount,storeHeadcount,sourceFile,datePeriod
,Rulls Minglanilla Exhibit,Rulls,Mobile,,South Cebu,Alexander Limosnero,,VISAYAS,Eleazer Ojales,206973,195794,4549,,0,26297,664362,30497,195794,1,1,1,1,,January2025 Store_Data.xlsx,2025-01-01
,Xiaomi Kiosk Gaisano Mall Carcar,Rulls,Mobile,,South Cebu,Alexander Limosnero,,VISAYAS,Eleazer Ojales,64294,143674,88890,,0,87500,280765,114511,143674,0.5,0,0,0,,January2025 Store_Data.xlsx,2025-01-01
,Samsung Kiosk Grand Mall Moalboal,Rulls,Mobile,,South Cebu,Alexander Limosnero,,VISAYAS,Eleazer Ojales,236287,360000,0,,0,24990,278020,86990,360000,1,1,1,1,,January2025 Store_Data.xlsx,2025-01-01
,Social Technomatic Gaisano Mall Toledo,Rulls,Mobile,,South Cebu,Alexander Limosnero,,VISAYAS,Eleazer Ojales,84183,295752,15596,,0,155809,943300,133434,295752,0.5,1,1,1,,January2025 Store_Data.xlsx,2025-01-01
,Robinsons Appliances Dumaguete,Robinsons Appliances,Appliances,,South Cebu,Alexander Limosnero,,VISAYAS,Eleazer Ojales,1072108,2000000,0,,0,10000000,5000000,0,2000000,3,3,3,3,,January2025 Store_Data.xlsx,2025-01-01
,Prince Badian,Prince Retail,Appliances,,South Cebu,Alexander Limosnero,,VISAYAS,Eleazer Ojales,39917,0,50000,,0,200000,710083,0,0,1,0,0,0,,January2025 Store_Data.xlsx,2025-01-01
,Moalboal Kiosk,Rulls,Mobile,,South Cebu,Alexander Limosnero,,VISAYAS,Eleazer Ojales,270489,375913,14399,,0,109600,688965,174400,375913,1,1,1,1,,January2025 Store_Data.xlsx,2025-01-01
,Audionet Gaisano Mall Balamban,Rulls,Mobile,,South Cebu,Alexander Limosnero,,VISAYAS,Eleazer Ojales,53511,21897,0,,0,234508,322655,12990,21897,1,1,1,1,,January2025 Store_Data.xlsx,2025-01-01
,Audionet Gaisano Mall Toledo,Rulls,Mobile,,South Cebu,Alexander Limosnero,,VISAYAS,Eleazer Ojales,54794,164090,0,,0,191518,968487,308613,164090,1,1,1,1,,January2025 Store_Data.xlsx,2025-01-01
,Stormtech Gaisano Mall Tabunok,Rulls,Mobile,,South Cebu,Alexander Limosnero,,VISAYAS,Eleazer Ojales,358892,287386,58896,,0,129140,653356,204492,287386,1,1,1,1,,January2025 Store_Data.xlsx,2025-01-01